name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Erwinia aphidicola	68334	S	697	36	733	0.00001
Erwinia pyrifoliae	79967	S	522	58	580	0.00001
Erwinia sorbitola	2681984	S	470	17	487	0.00000
Erwinia rhapontici	55212	S	113	4	117	0.00000
Erwinia tasmaniensis	338565	S	30	1	31	0.00000
Erwinia persicina	55211	S	19	0	19	0.00000
Erwinia billingiae	182337	S	10	3	13	0.00000
Wigglesworthia glossinidia	51229	S	9246	105	9351	0.00009
Tatumella citrea	53336	S	1800	43	1843	0.00002
Tatumella ptyseos	82987	S	1257	31	1288	0.00001
Mixta gaviniae	665914	S	1144	121	1265	0.00001
Mixta intestinalis	1615494	S	233	13	246	0.00000
Mixta hanseatica	2872648	S	15	3	18	0.00000
Duffyella gerundensis	1619313	S	1388	122	1510	0.00001
Winslowiella toletana	92490	S	232	12	244	0.00000
Pectobacterium carotovorum	554	S	4984	1445	6429	0.00006
Pectobacterium brasiliense	180957	S	4956	520	5476	0.00005
Pectobacterium parvum	2778550	S	4537	484	5021	0.00005
Pectobacterium polonicum	2485124	S	3006	112	3118	0.00003
Pectobacterium parmentieri	1905730	S	3000	149	3149	0.00003
Pectobacterium versatile	2488639	S	2808	267	3075	0.00003
Pectobacterium odoriferum	78398	S	541	35	576	0.00001
Pectobacterium cacticida	69221	S	435	9	444	0.00000
Pectobacterium punjabense	2108399	S	384	12	396	0.00000
Pectobacterium sp. PL64	2738983	S	251	16	267	0.00000
Pectobacterium sp. 21LCBS03	2935858	S	67	22	89	0.00000
Pectobacterium sp. A5351	2914983	S	25	1	26	0.00000
Pectobacterium polaris	2042057	S	331	20	351	0.00000
Pectobacterium aroidearum	1201031	S	208	39	247	0.00000
Pectobacterium actinidiae	1507808	S	93	3	96	0.00000
Pectobacterium araliae	3073862	S	41	1	42	0.00000
Pectobacterium wasabiae	55208	S	17	0	17	0.00000
Pectobacterium quasiaquaticum	2774015	S	14	1	15	0.00000
Pectobacterium atrosepticum	29471	S	11	0	11	0.00000
Dickeya zeae	204042	S	7419	785	8204	0.00008
Dickeya dadantii	204038	S	4607	291	4898	0.00005
Dickeya fangzhongdai	1778540	S	4079	774	4853	0.00005
Dickeya lacustris	2259638	S	2752	89	2841	0.00003
Dickeya chrysanthemi	556	S	1976	71	2047	0.00002
Dickeya solani	1089444	S	1590	1071	2661	0.00002
Dickeya dianthicola	204039	S	928	761	1689	0.00002
Dickeya sp. NCPPB 3274	568766	S	129	6	135	0.00000
Dickeya poaceiphila	568768	S	55	1	56	0.00000
Prodigiosinella aquatilis	3057057	S	237	1130	1367	0.00001
Musicola paradisiaca	69223	S	1354	7659	9013	0.00008
Brenneria goodwinii	1109412	S	187	3	190	0.00000
Brenneria izadpanahii	2722756	S	161	3	164	0.00000
Brenneria sp. EniD312	598467	S	119	449	568	0.00001
Brenneria rubrifaciens	55213	S	118	2	120	0.00000
Lonsdalea populi	1172565	S	181	13	194	0.00000
Lonsdalea britannica	1082704	S	26	1	27	0.00000
Candidatus Sodalis pierantonius	1486991	S	14624	147	14771	0.00014
Sodalis praecaptivus	1239307	S	5515	72	5587	0.00005
